"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Login Test for: Standard User","webkit","Wed Apr 22 07:37:04 UTC 2026","failed","Wed Apr 22 07:37:04 UTC 2026","","saucedemo.spec.ts","",""
"","3","Standard User can complete a full purchase journey","chromium","Wed Apr 22 07:36:36 UTC 2026","failed","Wed Apr 22 07:36:36 UTC 2026","","saucedemo.spec.ts","",""
"","4","Login Test for: Standard User","chromium","Wed Apr 22 07:36:27 UTC 2026","failed","Wed Apr 22 07:36:27 UTC 2026","","saucedemo.spec.ts","",""
"","4","Homepage Visual Comparison","chromium","Wed Apr 22 07:36:38 UTC 2026","failed","Wed Apr 22 07:36:38 UTC 2026","","visual.spec.ts","",""
"","4","Standard User can add a product to cart","chromium","Wed Apr 22 07:36:33 UTC 2026","failed","Wed Apr 22 07:36:33 UTC 2026","","saucedemo.spec.ts","",""
"","14912","get started link","firefox","Wed Apr 22 06:49:48 UTC 2026","passed","Wed Apr 22 06:50:03 UTC 2026","","example.spec.ts","",""
"","39281","has title","webkit","Wed Apr 22 06:50:37 UTC 2026","broken","Wed Apr 22 06:51:16 UTC 2026","","example.spec.ts","",""
"","4","Standard User can complete a full purchase journey","webkit","Wed Apr 22 07:37:12 UTC 2026","failed","Wed Apr 22 07:37:12 UTC 2026","","saucedemo.spec.ts","",""
"","4","Login Test for: Locked Out User","firefox","Wed Apr 22 07:36:48 UTC 2026","failed","Wed Apr 22 07:36:48 UTC 2026","","saucedemo.spec.ts","",""
"","3","Purchase journey with random user data","chromium","Wed Apr 22 07:36:22 UTC 2026","failed","Wed Apr 22 07:36:22 UTC 2026","","dynamic_data.spec.ts","",""
"","32","Should be able to fetch a list of posts via API","firefox","Wed Apr 22 07:36:39 UTC 2026","passed","Wed Apr 22 07:36:39 UTC 2026","","api_example.spec.ts","",""
"","432","API Request Chaining: Create and then Fetch a post","firefox","Wed Apr 22 07:36:38 UTC 2026","passed","Wed Apr 22 07:36:39 UTC 2026","","api_chaining.spec.ts","",""
"","4","Hybrid Test: Verify Product via API then check UI","firefox","Wed Apr 22 07:36:43 UTC 2026","failed","Wed Apr 22 07:36:43 UTC 2026","","hybrid_check.spec.ts","",""
"","7920","has title","chromium","Wed Apr 22 06:49:02 UTC 2026","passed","Wed Apr 22 06:49:10 UTC 2026","","example.spec.ts","",""
"","3","Login Test for: Locked Out User","webkit","Wed Apr 22 07:37:06 UTC 2026","failed","Wed Apr 22 07:37:06 UTC 2026","","saucedemo.spec.ts","",""
"","3","Login Test for: Problem User","webkit","Wed Apr 22 07:37:08 UTC 2026","failed","Wed Apr 22 07:37:08 UTC 2026","","saucedemo.spec.ts","",""
"","4","Hybrid Test: Verify Product via API then check UI","webkit","Wed Apr 22 07:37:01 UTC 2026","failed","Wed Apr 22 07:37:01 UTC 2026","","hybrid_check.spec.ts","",""
"","4","Purchase journey with random user data","firefox","Wed Apr 22 07:36:41 UTC 2026","failed","Wed Apr 22 07:36:41 UTC 2026","","dynamic_data.spec.ts","",""
"","429","API Request Chaining: Create and then Fetch a post","webkit","Wed Apr 22 07:36:57 UTC 2026","passed","Wed Apr 22 07:36:57 UTC 2026","","api_chaining.spec.ts","",""
"","16543","has title","firefox","Wed Apr 22 06:49:29 UTC 2026","passed","Wed Apr 22 06:49:46 UTC 2026","","example.spec.ts","",""
"","4","Purchase journey with random user data","webkit","Wed Apr 22 07:36:59 UTC 2026","failed","Wed Apr 22 07:36:59 UTC 2026","","dynamic_data.spec.ts","",""
