"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14912","get started link","firefox","Wed Apr 22 06:49:48 UTC 2026","passed","Wed Apr 22 06:50:03 UTC 2026","","example.spec.ts","",""
"","4","Standard User can add a product to cart","webkit","Wed Apr 22 07:08:47 UTC 2026","failed","Wed Apr 22 07:08:47 UTC 2026","","saucedemo.spec.ts","",""
"","4","Standard User can complete a full purchase journey","webkit","Wed Apr 22 07:08:49 UTC 2026","failed","Wed Apr 22 07:08:49 UTC 2026","","saucedemo.spec.ts","",""
"","4","Purchase journey with random user data","chromium","Wed Apr 22 07:08:00 UTC 2026","failed","Wed Apr 22 07:08:00 UTC 2026","","dynamic_data.spec.ts","",""
"","4","Homepage Visual Comparison","chromium","Wed Apr 22 07:08:15 UTC 2026","failed","Wed Apr 22 07:08:15 UTC 2026","","visual.spec.ts","",""
"","3","Login Test for: Problem User","webkit","Wed Apr 22 07:08:45 UTC 2026","failed","Wed Apr 22 07:08:45 UTC 2026","","saucedemo.spec.ts","",""
"","3","Purchase journey with random user data","firefox","Wed Apr 22 07:08:18 UTC 2026","failed","Wed Apr 22 07:08:18 UTC 2026","","dynamic_data.spec.ts","",""
"","4","Login Test for: Standard User","webkit","Wed Apr 22 07:08:41 UTC 2026","failed","Wed Apr 22 07:08:41 UTC 2026","","saucedemo.spec.ts","",""
"","582","API Request Chaining: Create and then Fetch a post","chromium","Wed Apr 22 07:07:58 UTC 2026","passed","Wed Apr 22 07:07:58 UTC 2026","","api_chaining.spec.ts","",""
"","3","Standard User can complete a full purchase journey","firefox","Wed Apr 22 07:08:31 UTC 2026","failed","Wed Apr 22 07:08:31 UTC 2026","","saucedemo.spec.ts","",""
"","521","API Request Chaining: Create and then Fetch a post","firefox","Wed Apr 22 07:08:16 UTC 2026","passed","Wed Apr 22 07:08:16 UTC 2026","","api_chaining.spec.ts","",""
"","3","Hybrid Test: Verify Product via API then check UI","webkit","Wed Apr 22 07:08:38 UTC 2026","failed","Wed Apr 22 07:08:38 UTC 2026","","hybrid_check.spec.ts","",""
"","4","Standard User can complete a full purchase journey","chromium","Wed Apr 22 07:08:13 UTC 2026","failed","Wed Apr 22 07:08:13 UTC 2026","","saucedemo.spec.ts","",""
"","3","Homepage Visual Comparison","webkit","Wed Apr 22 07:08:51 UTC 2026","failed","Wed Apr 22 07:08:51 UTC 2026","","visual.spec.ts","",""
"","3","Hybrid Test: Verify Product via API then check UI","firefox","Wed Apr 22 07:08:21 UTC 2026","failed","Wed Apr 22 07:08:21 UTC 2026","","hybrid_check.spec.ts","",""
"","4","Login Test for: Standard User","firefox","Wed Apr 22 07:08:23 UTC 2026","failed","Wed Apr 22 07:08:23 UTC 2026","","saucedemo.spec.ts","",""
"","4","Standard User can add a product to cart","firefox","Wed Apr 22 07:08:29 UTC 2026","failed","Wed Apr 22 07:08:29 UTC 2026","","saucedemo.spec.ts","",""
"","7920","has title","chromium","Wed Apr 22 06:49:02 UTC 2026","passed","Wed Apr 22 06:49:10 UTC 2026","","example.spec.ts","",""
"","4","Login Test for: Problem User","chromium","Wed Apr 22 07:08:09 UTC 2026","failed","Wed Apr 22 07:08:09 UTC 2026","","saucedemo.spec.ts","",""
"","39281","has title","webkit","Wed Apr 22 06:50:37 UTC 2026","broken","Wed Apr 22 06:51:16 UTC 2026","","example.spec.ts","",""
"","3","Login Test for: Locked Out User","webkit","Wed Apr 22 07:08:43 UTC 2026","failed","Wed Apr 22 07:08:43 UTC 2026","","saucedemo.spec.ts","",""
"","4","Login Test for: Locked Out User","chromium","Wed Apr 22 07:08:07 UTC 2026","failed","Wed Apr 22 07:08:07 UTC 2026","","saucedemo.spec.ts","",""
"","4","Login Test for: Locked Out User","firefox","Wed Apr 22 07:08:25 UTC 2026","failed","Wed Apr 22 07:08:25 UTC 2026","","saucedemo.spec.ts","",""
"","4","Purchase journey with random user data","webkit","Wed Apr 22 07:08:36 UTC 2026","failed","Wed Apr 22 07:08:36 UTC 2026","","dynamic_data.spec.ts","",""
"","4","Homepage Visual Comparison","firefox","Wed Apr 22 07:08:33 UTC 2026","failed","Wed Apr 22 07:08:33 UTC 2026","","visual.spec.ts","",""
"","4831","get started link","chromium","Wed Apr 22 06:49:11 UTC 2026","passed","Wed Apr 22 06:49:16 UTC 2026","","example.spec.ts","",""
"","37","Should be able to fetch a list of posts via API","firefox","Wed Apr 22 07:08:17 UTC 2026","passed","Wed Apr 22 07:08:17 UTC 2026","","api_example.spec.ts","",""
"","37054","get started link","webkit","Wed Apr 22 06:50:46 UTC 2026","broken","Wed Apr 22 06:51:23 UTC 2026","","example.spec.ts","",""
"","4","Standard User can add a product to cart","chromium","Wed Apr 22 07:08:11 UTC 2026","failed","Wed Apr 22 07:08:11 UTC 2026","","saucedemo.spec.ts","",""
"","39","Should be able to fetch a list of posts via API","webkit","Wed Apr 22 07:08:34 UTC 2026","passed","Wed Apr 22 07:08:35 UTC 2026","","api_example.spec.ts","",""
"","4","Login Test for: Standard User","chromium","Wed Apr 22 07:08:05 UTC 2026","failed","Wed Apr 22 07:08:05 UTC 2026","","saucedemo.spec.ts","",""
"","4","Hybrid Test: Verify Product via API then check UI","chromium","Wed Apr 22 07:08:02 UTC 2026","failed","Wed Apr 22 07:08:02 UTC 2026","","hybrid_check.spec.ts","",""
"","37","Should be able to fetch a list of posts via API","chromium","Wed Apr 22 07:07:58 UTC 2026","passed","Wed Apr 22 07:07:59 UTC 2026","","api_example.spec.ts","",""
"","16543","has title","firefox","Wed Apr 22 06:49:29 UTC 2026","passed","Wed Apr 22 06:49:46 UTC 2026","","example.spec.ts","",""
